controller,condition,seed,success,steps,path_length,collisions,tortuosity,odor_detection_percentage,final_distance_to_source
moth,left_disabled,106,False,1200,188.64,0,1047.0390502584416,88.33333333333333,14.056005693088407
moth,left_disabled,107,False,1200,169.75999999999996,50,35.118149631334184,46.833333333333336,13.167421398019798
moth,left_disabled,108,False,1200,187.03999999999996,4,59.53384212928671,84.91666666666666,17.09994357347862
moth,left_disabled,109,False,1200,145.7599999999997,110,50.23063698285147,2.666666666666667,16.91280123466327
moth,left_disabled,110,False,1200,188.64,0,1178.9999999992297,88.58333333333334,14.062568856299755
moth,left_disabled,111,False,1200,188.64000000000001,0,349.66587519933086,87.33333333333333,13.529082395618522
moth,left_disabled,112,False,1200,153.12000000000003,66,66.30644867816798,4.083333333333333,13.528857709862404
moth,left_disabled,113,False,1200,188.64000000000001,0,1178.9999999992579,88.0,14.0245810767049
moth,left_disabled,114,False,1200,188.63999999999996,0,505.5142862258252,88.25,13.744014041414765
moth,left_disabled,115,False,1200,143.36000000000016,157,38.51513288869565,9.333333333333334,10.425687053673988
moth,left_disabled,116,False,1200,156.64000000000004,29,38.21382277262338,0.4166666666666667,15.486073956846903
