time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/learning_rate,rollout/ep_rew_mean,train/loss,rollout/success_rate,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
3311,29,48,98304,470,-1.4997659355401993,0.045849609375,0.007263071,12.749550896883012,515.51,0.4491729736328125,0.2,0.0003,27.07094955,7.337191581726074,0.46,-0.0054982217960059645,,,
,,,100000,480,-1.494146852195263,0.056982421875,0.005940869,14.426243263483048,,0.4322080612182617,0.2,0.0003,,6.060091495513916,,-0.00799422988347942,-0.3596999,600.0,0.0
3206,31,49,100352,,,,,,515.14,,,,27.594642070000006,,0.47,,,,
3224,31,50,102400,490,-1.5032921314239502,0.026708984375,0.005176923,14.828602236509322,512.78,0.4004998803138733,0.2,0.0003,27.066625019999996,6.143612861633301,0.46,-0.007620011293329299,,,
3246,32,51,104448,500,-1.5260091185569764,0.031787109375,0.00419426,12.636521390080452,500.79,0.42117393016815186,0.2,0.0003,28.197708359999993,11.122396469116211,0.48,-0.005402012058766559,,,
3266,32,52,106496,510,-1.5303151115775109,0.01240234375,0.00431983,28.54353265762329,494.81,0.36574727296829224,0.2,0.0003,29.33057688,9.727203369140625,0.5,-0.0038574859994696454,,,
3285,33,53,108544,520,-1.5309163942933082,0.049169921875,0.0069846828,28.505235016345978,490.41,0.3378576636314392,0.2,0.0003,29.345389250000007,12.38392448425293,0.5,-0.009246575282304548,,,
,,,110000,530,-1.5477099001407624,0.03095703125,0.006798505,14.724078106880189,,0.3095255494117737,0.2,0.0003,,4.960638523101807,,-0.005314323320635595,5.0853698,591.0,0.1
3184,34,54,110592,,,,,,490.45,,,,29.33191963,,0.5,,,,
3206,35,55,112640,540,-1.5156078889966011,0.0498046875,0.008636506,13.898646748065948,492.33,0.3686676025390625,0.2,0.0003,28.816624089999994,2.6272850036621094,0.49,-0.007127481006318703,,,
3228,35,56,114688,550,-1.5235353469848634,0.0416015625,0.006445367,6.809611201286316,490.14,0.633155345916748,0.2,0.0003,30.46297602,1.8794825077056885,0.52,-0.004524773746379651,,,
3249,35,57,116736,560,-1.5411529004573823,0.053076171875,0.00679742,19.01422312259674,490.24,0.337205708026886,0.2,0.0003,30.462042139999998,9.045795440673828,0.52,-0.00943873567157425,,,
3270,36,58,118784,570,-1.5180806994438172,0.033203125,0.0056953123,12.686520296335221,492.04,0.3819980025291443,0.2,0.0003,30.989241830000005,8.419342994689941,0.53,-0.0047546071582473814,,,
,,,120000,580,-1.5120812863111497,0.06806640625,0.01309123,19.532178550958633,,0.4191364645957947,0.2,0.0003,,7.765190124511719,,-0.006683865530067124,3.8486547,569.6,0.1
3190,37,59,120832,,,,,,488.21,,,,31.491011100000005,,0.54,,,,
3207,38,60,122880,590,-1.4814382195472717,0.04794921875,0.009364028,15.176533752679825,487.38,0.3771851062774658,0.2,0.0003,31.510263570000003,6.531358242034912,0.54,-0.007181957358261571,,,
3227,38,61,124928,600,-1.4862647145986556,0.0328125,0.008928794,16.759843051433563,483.4,0.4154849648475647,0.2,0.0003,32.60767466,7.307055950164795,0.56,-0.006732965511037037,,,
3246,39,62,126976,610,-1.4954044416546821,0.027392578125,0.008353994,18.594949734210967,476.03,0.5271198153495789,0.2,0.0003,33.59791521,5.315319061279297,0.58,-0.006453231355408207,,,
3266,39,63,129024,620,-1.405082057416439,0.061572265625,0.009300596,18.482227790355683,477.68,0.4645470380783081,0.2,0.0003,32.5229731,6.78120756149292,0.56,-0.008295367192476987,,,
